2D Materials	2D Mater.
ACM Transactions on Autonomous and Adaptive Systems	ACM Trans. Auton. Adapt. Syst.
ACM Transactions on Computation Theory	ACM Trans. Comput. Theory
ACM Transactions on Computational Logic	ACM Trans. Comput. Logic
ACM Transactions on Computer Systems	ACM Trans. Comput. Syst.
ACM Transactions on Computer-Human Interaction	ACM Trans. Comput.-Hum. Interact.
ACM Transactions on Computing Education	ACM Trans. Comput. Educ.
ACM Transactions on Computing for Healthcare	ACM Trans. Comput. Healthcare
ACM Transactions on Cyber-Physical Systems	ACM Trans. Cyber-Phys. Syst.
ACM Transactions on Database Systems	ACM Trans. Database Syst.
ACM Transactions on Design Automation of Electronic Systems	ACM Trans. Des. Autom. Electron. Syst.
ACM Transactions on Economics and Computation	ACM Trans. Econ. Comput.
ACM Transactions on Embedded Computing Systems	ACM Trans. Embedded Comput. Syst.
ACM Transactions on Evolutionary Learning	ACM Trans. Evol. Learn.
ACM Transactions on Evolutionary Learning and Optimization	ACM Trans. Evol. Learn. Optim.
ACM Transactions on Graphics	ACM Trans. Graphics
ACM Transactions on Human-Robot Interaction	ACM Trans. Hum.-Rob. Interact.
ACM Transactions on Information and System Security	ACM Trans. Inf. Syst. Secur.
ACM Transactions on Information Systems	ACM Trans. Inf. Syst.
ACM Transactions on Intelligent Systems and Technology	ACM Trans. Intell. Syst. Technol.
ACM Transactions on Interactive Intelligent Systems	ACM Trans. Interact. Intell. Syst.
ACM Transactions on Internet of Things	ACM Trans. Internet Things
ACM Transactions on Internet Technology	ACM Trans. Internet Technol.
ACM Transactions on Knowledge Discovery from Data	ACM Trans. Knowl. Discovery Data
ACM Transactions on Management Information Systems	ACM Trans. Manage. Inf. Syst.
ACM Transactions on Mathematical Software	ACM Trans. Math. Software
ACM Transactions on Modeling and Computer Simulation	ACM Trans. Model. Comput. Simul.
ACM Transactions on Modeling and Performance Evaluation of Computing Systems	ACM Trans. Model. Perform. Eval. Comput. Syst.
ACM Transactions on Multimedia Computing Communications and Applications	ACM Trans. Multimedia Comput. Commun. Appl.
ACM Transactions on Parallel Computing	ACM Trans. Parallel Comput.
ACM Transactions on Privacy and Security	ACM Trans. Privacy Secur.
ACM Transactions on Programming Languages and Systems	ACM Trans. Program. Lang. Syst.
ACM Transactions on Quantum Computing	ACM Trans. Quantum Comput.
ACM Transactions on Reconfigurable Technology and Systems	ACM Trans. Reconfigurable Technol. Syst.
ACM Transactions on Sensor Networks	ACM Trans. Sens. Netw.
ACM Transactions on Social Computing	ACM Trans. Social Comput.
ACM Transactions on Software Engineering and Methodology	ACM Trans. Software Eng. Method.
ACM Transactions on Spatial Algorithms and Systems	ACM Trans. Spatial Algorithms Syst.
ACM Transactions on Speech and Language Processing	ACM Trans. Speech Lang. Process.
ACM Transactions on Storage	ACM Trans. Storage
ACM Transactions on the Web	ACM Trans. Web
ACM/IMS Transactions on Data Science	ACM/IMS Trans. Data Sci.
ACM Transactions on Recommender Systems Systems	ACM Trans. Recommender Syst.
Acoustical Imaging	Acoust. Imaging
Acoustical Physics	Acoust. Phys.
Acoustical Science and Technology	Acoust. Sci. Technol.
Acoustics Australia	Acoust. Aust.
Acoustics Research Letters Online	Acoust. Res. Lett. Online
Acoustics Today	Acoust. Today
ACS Agricultural Science & Technology	ACS Agric. Sci. Technol.
ACS Applied Bio Materials	ACS Appl. Bio Mater.
ACS Applied Electronic Materials	ACS Appl. Electron. Mater.
ACS Applied Energy Materials	ACS Appl. Energy Mater.
ACS Applied Engineering Materials	ACS Appl. Eng. Mater.
ACS Applied Materials & Interfaces	ACS Appl. Mater. Interfaces
ACS Applied Nano Materials	ACS Appl. Nano Mater.
ACS Applied Optical Materials	ACS Appl. Opt. Mater.
ACS Applied Polymer Materials	ACS Appl. Polym. Mater.
ACS Bio & Med Chem Au	ACS Bio & Med Chem Au
ACS Biomaterials Science & Engineering	ACS Biomater. Sci. Eng.
ACS Catalysis	ACS Catal.
ACS Central Science	ACS Cent. Sci.
ACS Chemical Biology	ACS Chem. Biol.
ACS Chemical Health and Safety	ACS Chem. Health Saf.
ACS Chemical Neuroscience	ACS Chem. Neurosci.
ACS Combinatorial Science	ACS Comb. Sci.
ACS Earth and Space Chemistry	ACS Earth Space Chem.
ACS Energy Letters	ACS Energy Lett.
ACS Engineering Au	ACS Eng. Au
ACS Environmental Au	ACS Environ. Au
ACS ES&T Engineering	ACS ES&T Eng.
ACS ES&T Water	ACS ES&T Water
ACS Food Science & Technology	ACS Food Sci. Technol.
ACS Infectious Diseases	ACS Infect. Dis.
ACS Macro Letters	ACS Macro Lett.
ACS Materials Au	ACS Mater. Au
ACS Materials Letters	ACS Mater. Lett.
ACS Medicinal Chemistry Letters	ACS Med. Chem. Lett.
ACS Nano	ACS Nano
ACS Nanoscience Au	ACS Nanosci. Au
ACS Omega	ACS Omega
ACS Organic & Inorganic Au	ACS Org. Inorg. Au
ACS Pharmacology & Translational Science	ACS Pharmacol. Transl. Sci.
ACS Photonics	ACS Photonics
ACS Physical Chemistry Au	ACS Phys. Chem. Au
ACS Sensors	ACS Sens.
ACS Sustainable Chemistry & Engineering	ACS Sustainable Chem. Eng.
ACS Sustainable Chemistry and Engineering	ACS Sustainable Chem. Eng.
ACS Symposium Series	ACS Symp. Ser.
ACS Synthetic Biology	ACS Synth. Biol.
Acta Acustica	Acta Acust.
Acta Acustica united with Acustica	Acta Acust. united Acust.
Acta Agriculturae Scandinavica Section A: Animal Science	Acta Agric. Scand. Sect A
Acta Agriculturae Scandinavica Section B: Soil and Plant Science	Acta Agric. Scand. Sect B
Acta Agronomica Sinica	Acta Agron. Sin.
Acta Amazonica	Acta Amazonica
Acta Analytica	Acta Anal.
Acta Applicandae Mathematicae	Acta Appl. Math.
Acta Archaeologica	Acta Archaeol.
Acta Astronautica	Acta Astronaut.
Acta Automatica Sinica	Acta Autom. Sin.
Acta Biochimica et Biophysica Sinica	Acta Biochim. Biophys. Sin.
Acta Biochimica et Biophysica Sinica	Acta Biochim. Biophys. Sin.
Acta Biochimica Polonica	Acta Biochim. Pol.
Acta Biologica et Medica Germanica	Acta Biol. Med. Ger.
Acta Biomaterialia	Acta Biomater.
Acta Bioquimica Clinica Latinoamericana	Acta Bioquim. Clin. Latinoam.
Acta Biotechnologica	Acta Biotechnol.
Acta Biotheoretica	Acta Biotheor.
Acta Borealia	Acta Borealia
Acta Botanica Neerlandica	Acta Bot. Neerl.
Acta Chemica Scandinavica	Acta Chem. Scand.
"Acta Chemica Scandinavica, Series A: Physical and Inorganic Chemistry"	Acta Chem. Scand. Ser. A
"Acta Chemica Scandinavica, Series B: Organic Chemistry and Biochemistry"	Acta Chem. Scand. Ser. B
Acta Chimica Sinica	Acta Chim. Sinica
Acta Chimica Slovenica	Acta Chim. Slov.
Acta Chiropterologica	Acta Chiropterol.
Acta Chromatographica	Acta Chromatogr.
Acta Ciencia Indica Chemistry	"Acta Cienc. Indica, Chem."
Acta Ciencia Indica Phyics	"Acta Cienc. Indica, Phys."
Acta Crystallographica Section A: Foundations	"Acta Crystallogr., Sect. A: Found. Crystallogr."
Acta Crystallographica Section B: Structural Science	"Acta Crystallogr., Sect. B: Struct. Sci"
Acta Crystallographica Section C: Crystal Structure Communications	"Acta Crystallogr., Sect. C: Cryst. Struct. Commun."
Acta Crystallographica Section D: Biological Crystallography	"Acta Crystallogr., Sect. D: Biol. Crystallogr."
Acta Crystallographica Section E Structure Reports Online	"Acta Crystallogr., Sect. E: Struct. Rep. Online"
Acta Crystallographica Section F: Structural Biology and Crystallization Communications	"Acta Crystallogr., Sect. F: Struct. Biol. Cryst. Commun."
Acta Ecologica Sinica	Acta Ecol. Sin.
Acta Farmaceutica Bonaerense	Acta Farm. Bonaerense
Acta Genetica Sinica	Acta Genet. Sin.
Acta Geochimica	Acta Geochim.
Acta Geodaetica et Geophysica	Acta Geod. Geophys.
Acta Geodynamics et Geomaterialia	Acta Geodyn. Geomater.
Acta Geologica Sinica	Acta Geol. Sin.
Acta Geophysica	Acta Geophys.
Acta Geotechnica	Acta Geotech.
Acta Histochemica	Acta Histochem.
Acta Horticulturae	Acta Hortic.
Acta Hydrochimica et Hydrobiologica	Acta Hydroch. Hydrob.
Acta Hydrophysica	Acta Hydrophys.
Acta Materialia	Acta Mater.
Acta Mathematica	Acta Math.
Acta Mathematica Hungarica	Acta Math. Hung.
Acta Mathematica Scientia	Acta Math. Sci.
Acta Mathematica Sinica	Acta Math. Sinica
Acta Mathematicae Applicatae Sinica	Acta Math. Appl. Sinica
Acta Mechanica	Acta Mech.
Acta Mechanica Sinica	Acta Mech. Sin.
Acta Mechanica Solida Sinica	Acta Mech. Solida Sin.
Acta Metallurgica	Acta Metall.
Acta Metallurgica et Materialia	Acta Metall. Mater.
Acta Metallurgica Sinica	Acta Metall. Sinica
Acta Metallurgica Sinica- English Letters	Acta Metall. Sinica Engl.Lett.
Acta Montanistica Slovaca	Acta Montan. Slovaca
Acta Morphologica Neerlando-Scandinavica	Acta Morphol. Neerl.-Scand.
Acta Neurologica Scandinavica	Acta Neurol. Scand.
Acta Neuropathologica	Acta Neuropathol.
Acta Neuropsychiatrica	Acta Neuropsychiatr.
Acta Numerica	Acta Numer.
Acta Oceanologica Sinica	Acta Oceanolog. Sin.
Acta Odontologica Scandinavica	Acta Odontol. Scand.
Acta Ornithologica	Acta Ornithol.
Acta Palaeontologica Polonica	Acta Palaeontol. Polonica
Acta Parasitology	Acta Parasitol.
Acta Pharmacologica Sinica	Acta Pharmacol. Sin.
Acta Physica Debrecina	Acta Phys. Debrecina
Acta Physica et Chimica Debrecina	Acta Phys. Chim. Debrecina
Acta Physica Polonica A	Acta Phys. Pol. A
Acta Physica Polonica B	Acta Phys. Pol. B
Acta Physica Polonica Proceedings Supplement	Acta Phys. Pol. B. Proc. Suppl.
Acta Physico-Chimica Sinica	Acta Phys. Chim. Sin.
Acta Physiologica	Acta Physiol.
Acta Physiologica Scandinavica	Acta Physiol. Scand.
Acta Polymerica	Acta Polym.
Acta Polytechnica Hungarica	Acta Polytech. Hung.
Acta Polytechnica Scandinavica - Chemical Technology Series	"Acta Polytech. Scand., Chem. Technol. Ser"
Acta Scientiarum Mathematicarum	Acta Sci. Math.
Acta Scientiarum-Agronomy	Acta Sci.-Agron.
Acta Seismologica Sinica	Acta Seismol. Sin.
Acta Technica	Acta Tech.
Acta Tropica	Acta Trop.
Acta Veterinaria Scandinavica	Acta Vet. Scand.
Acta Zoologica	Acta Zool.
Active and Passive Electronic Components	Act. Passive Electron. Compon.
Actualite Chimique	Actual. Chim.
Ad Hoc Networks	Ad Hoc Networks
Adaptive Behavior	Adapt. Behav.
Adaptive Human Behavior and Physiology	Adapt. Hum. Behav. Physiol.
Addiction Biology	Addict. Biol.
Addiction Neuroscience	Addict. Neurosci.
Addiction Research & Theory	Addict. Res. Theory
Addictive Behaviors	Addict. Behav.
Addictive Behaviors Reports	Addict. Behav. Rep.
Additive Manufacturing	Addit. Manuf.
Additive Manufacturing Letters	Addit. Manuf. Lett.
Additives for Polymers	Addit. Polym.
Adhaesion--Kleben & Dichten	Adhaes. Kleben Dicten
Adhesives Age	Adhes. Age
Adsorption Science and Technology	Adsorpt. Sci. Technol.
"Advanced Bionics, Biokinetics and Biocybernetics"	Adv. Bionics Biokinet. Biocybern.
Advanced Biosystems	Adv. Biosyst.
Advanced Cement Based Materials	Adv. Cem. Based Mater.
Advanced Composite Materials	Adv. Compos. Mater
Advanced Composites and Hybrid Materials	Adv. Compos. Hybrid Mater.
Advanced Composites Letters	Adv. Compos. Lett.
Advanced Control for Applications	Adv. Control Appl.
Advanced Device Materials	Adv. Device Mater.
Advanced Devices & Instrumentation	Adv. Devices Instrum.
Advanced Drug Delivery Reviews	Adv. Drug Delivery Rev.
Advanced Electronic Materials	Adv. Electron. Mater.
Advanced Energy and Sustainability Research	Adv. Energy Sustainability Res.
Advanced Energy Conversion	Adv. Energy Convers.
Advanced Energy Materials	Adv. Energy Mater.
Advanced Engineering Informatics	Adv. Eng. Inf.
Advanced Engineering Materials	Adv. Eng. Mater.
Advanced Fiber Materials	Adv. Fiber Mater.
Advanced Functional Materials	Adv. Funct. Mater.
Advanced Genetics	Adv. Genet.
Advanced Healthcare Materials	Adv. Healthcare Mater.
Advanced Industrial and Engineering Polymer Research	Adv. Ind. Eng. Polym. Res.
Advanced Intelligent Systems	Adv. Intell. Syst.
Advanced Manufacturing: Polymer & Composites Science	Adv. Manuf. Polym. Compos. Sci.
Advanced Materials	Adv. Mater.
Advanced Materials and Processes	Adv. Mater. Processes
Advanced Materials for Optics and Electronics	Adv. Mater. Opt. Electron.
Advanced Materials Forum	Adv. Mater. Forum
Advanced Materials Interfaces	Adv. Mater. Interfaces
Advanced Materials Technologies	Adv. Mater. Technol.
Advanced Membranes	Adv. Membr.
Advanced Modeling and Simulation in Engineering Sciences	Adv. Model. Simul. Eng. Sci.
Advanced NanoBiomed Research	Adv. NanoBiomed Res.
Advanced Nonlinear Studies	Adv. Nonlinear Stud.
Advanced Optical Materials	Adv. Opt. Mater.
Advanced Optical Technologies	Adv. Opt. Technol.
Advanced Photonics	Adv. Photonics
Advanced Photonics Nexus	Adv. Photonics Nexus
Advanced Photonics Research	Adv. Photonics Res.
Advanced Powder Materials	Adv. Powder Mater.
Advanced Powder Technology	Adv. Powder Technol.
Advanced Quantum Technologies	Adv. Quantum Technol.
Advanced Robotics	Adv. Rob.
Advanced Science	Adv. Sci.
Advanced Science Letters	Adv. Sci. Lett.
Advanced Sensor and Energy Materials	Adv. Sens. Energy Mater.
Advanced Steel Construction	Adv. Steel Constr.
Advanced Structural and Chemical Imaging	Adv. Struct. Chem. Imaging
Advanced Studies in Theoretical Physics	Adv. Stud. Theor. Phys.
Advanced Sustainable Systems	Adv. Sustainable Syst.
Advanced Synthesis and Catalysis	Adv. Synth. Catal.
Advanced Theory and Simulations	Adv. Theor. Simul.
Advances and Applications in Bioinformatics and Chemistry	Adv. Appl Bioinf. Chem.
Advances in Acoustics and Vibrations	Adv. Acoust. Vibr.
Advances in Aerodynamics	Adv. Aerodyn.
Advances in Agriculture	Adv. Agric.
Advances in Agronomy	Adv. Agron.
Advances in Animal Biosciences	Adv. Anim. Biosci.
Advances in Applied Biodiversity Science	Adv. Appl. Biodivers. Sci.
Advances in Applied Ceramics	Adv. Appl. Ceram.
Advances in Applied Clifford Algebras	Adv. Appl. Clifford Algebras
Advances in Applied Energy	Adv. Appl. Energy
Advances in Applied Mathematics	Adv. Appl. Math.
Advances in Applied Mathematics and Mechanics	Adv. Appl. Math. Mech.
Advances in Applied Microbiology	Adv. Appl. Microbiol.
Advances in Applied Probability	Adv. Appl. Probab.
Advances in Archaeological Practice	Adv. Archaeol. Pract.
Advances in Archaeomaterials	Adv. Archaeomater.
Advances in Astronautics Science and Technology	Adv. Astronaut. Sci. Technol.
Advances in Astronomy	Adv. Astron.
Advances in Atmospheric Sciences	Adv. Atmos. Sci.
Advances in Atomic Molecular and Optical Physics	Adv. At. Mol. Opt. Phys.
Advances in Biochemical Engineering / Biotechnology	Adv. Biochem. Eng./Biotechnol.
Advances in Bioinformatics	Adv. Bioinf.
Advances in Biological Regulation	Adv. Biol. Regul.
Advances in Biomarker Sciences and Technology	Adv. Biomarker Sci. Technol.
Advances in Biophysics	Adv. Biophys.
Advances in Bridge Engineering	Adv. Bridge Eng.
Advances in Building Energy Research	Adv. Build. Energy Res.
Advances in Carbohydrate Chemistry and Biochemistry	Adv. Carbohydr. Chem. Biochem.
Advances in Catalysis	Adv. Catal.
Advances in Cement Research	Adv. Cem. Res.
Advances in Chemical Physics	Adv. Chem. Phys.
Advances in Chemistry Series	Adv. Chem. Ser.
Advances in Chromatography	Adv. Chromatogr.
Advances in Civil Engineering	Adv. Civ. Eng.
Advances in Climate Change Research	Adv. Clim. Change Res.
Advances in Clinical Radiology	Adv. Clin. Radiol.
Advances in Colloid and Interface Science	Adv. Colloid Interface Sci.
Advances in Complex Systems	Adv. Complex Syst.
Advances in Computational Intelligence	Adv. Comput. Intell.
Advances in Computational Mathematics	Adv. Comput. Math.
Advances in Concrete Construction	Adv. Concr. Constr.
Advances in Condensed Matter Physics	Adv. Condens. Matter Phys.
Advances in Continuous and Discrete Models	Adv. Contin. Discrete Models
Advances in Cryogenic Engineering	Adv. Cryog. Eng.
Advances in Damage Mechanics	Adv. Damage Mech.
Advances in Data Analysis and Classification	Adv. Data Anal. Classif.
Advances in Developmental Biology	Adv. Dev. Biol.
Advances in Difference Equations	Adv. Differ. Equations
Advances in Differential Equations	Adv. Differ. Equations
Advances in Drug and Alcohol Research	Adv. Drug Alcohol Res.
Advances in Engineering Education	Adv. Eng. Educ.
Advances in Engineering Software	Adv. Eng. Software
Advances in Environmental Research	Adv. Environ. Res.
Advances in Enzyme Regulation	Adv. Enzyme Regul.
Advances in Enzymology and Related Areas of Molecular Biology	Adv. Enzymol. Relat. Areas Mol. Biol.
Advances in Filtration and Separation Technology	Adv. Filtr. Sep. Technol.
Advances in Forensic Haemogenetics	Adv. Forensic Haemogenet.
Advances in Free Radical Biology and Medicine	Adv. Free Radical Biol. Med.
Advances in Fuzzy Systems	Adv. Fuzzy Syst.
Advances in Geoecology	Adv. Geoecol.
Advances in Geosciences	Adv. Geosci.
Advances in Heterocyclic Chemistry	Adv. Heterocycl. Chem.
Advances in High Energy Physics	Adv. High Energy Phys.
Advances in Human-Computer Interaction	Adv. Hum. Comput. Interact.
Advances in Industrial and Manufacturing Engineering	Adv. Ind. Manuf. Eng.
Advances in Inorganic Chemistry	Adv. Inorg. Chem.
Advances in Limnology	Adv. Limnol.
Advances in Lipid Research	Adv. Lipid Res.
Advances in Magnetic and Optical Resonance	Adv. Magn. Opt. Reson.
Advances in Mass Spectrometry	Adv. Mass Spectrom.
Advances in Materials and Processing Technologies	Adv. Mater. Process. Technol.
Advances in Materials Research	Adv. Mater. Res.
Advances in Materials Science and Engineering	Adv. Mater. Sci. Eng.
Advances in Mathematical Physics	Adv. Math. Phys.
Advances in Mathematics	Adv. Math.
Advances in Mathematics and Communications	Adv. Math. Commun.
Advances in Mechanical Engineering	Adv. Mech. Eng.
Advances in Mechanics	Adv. Mech.
Advances in Medical and Dental Sciences	Adv. Med. Dent. Sci.
Advances in Medical Science	Adv. Med. Sci.
Advances in Meteorology	Adv. Meteorol.
Advances in Modelling and Analysis A	Adv. Modell. Anal. A
Advances in Modelling and Analysis B	Adv. Modell. Anal. B
Advances in Molecular Pathology	Adv. Mol. Pathol.
Advances in Molecular Relaxation and Interaction Processes	Adv. Mol. Relax. Interact. Processes
Advances in Multimedia	Adv. Multimedia
Advances in Nano Research	Adv. Nano Res.
Advances in Natural and Applied Science	Adv. Nat. Appl. Sci.
Advances in Natural Sciences: Nanoscience and Nanotechnology	Adv. Nat. Sci.: Nanosci. Nanotechnol.
Advances in Neuroimmune Biology	Adv. Neuroimmune Biol.
Advances in Nonlinear Analysis	Adv. Nonlinear Anal.
Advances in Numerical Analysis	Adv. Numer. Anal.
Advances in Nutrition	Adv. Nutr.
Advances in Oceanography and Limnology	Adv. Oceanogr. Limnol.
Advances in Operations Research	Adv. Oper. Res.
Advances in Operator Theory	Adv. Oper. Theory
Advances in Optical Technologies	Adv. Opt. Technol.
Advances in Optics and Photonics	Adv. Opt. Photonics
Advances in OptoElectronics	Adv. OptoElectron.
Advances in Organic Synthesis	Adv. Org. Synth.
Advances in Organometallic Chemistry	Adv. Organomet. Chem.
Advances in Physical Organic Chemistry	Adv. Phys. Org. Chem.
Advances in Physics	Adv. Phys.
Advances in Physics: X	Adv. Phys.: X
Advances in Polymer Science	Adv. Polym. Sci.
Advances in Polymer Technology	Adv. Polym. Technol.
Advances in Powder Metallurgy and Particulate Materials	Adv. Powder. Metall. Part. Mater.
Advances in Power Electronics	Adv. Power Electron.
Advances in Production Engineering & Management	Adv. Prod. Eng. Manage.
Advances in Protein Chemistry	Adv. Protein Chem.
Advances in Quantum Chemistry	Adv. Quantum Chem.
Advances in Radiation Oncology	Adv. Radiat. Oncol.
Advances in Radio Science	Adv. Radio Sci.
Advances in Redox Research	Adv. Redox Res.
Advances in Regenerative Biology	Adv. Regener. Biol.
Advances in Sample Preparation	Adv. Sample Prep.
Advances in Science and Research	Adv. Sci. Res.
Advances in Second Messenger and Phosphoprotein Research	Adv. Second Messenger Phosphoprotein Res.
Advances In Simulation	Adv. Simul.
Advances in Small Animal Care	Adv. Small Anim. Care
Advances in Space Research	Adv. Space Res.
Advances in Spectroscopy	Adv. Spectrosc.
"Advances in Statistical Climatology, Meteorology and Oceanography"	Adv. Stat. Climatol. Meteorol. Oceanogr.
Advances in Structural Engineering	Adv. Struct. Eng.
Advances in Synchrotron Radiation	Adv. Synchrotron Radiat.
Advances in Theoretical and Mathematical Physics	Adv. Theor. Math. Phys.
Advances in Transportation Studies	Adv. Transp. Stud.
Advances in Tribology	Adv. Tribol.
Advances in Virology	Adv. Virol.
Advances in Water Research	Adv. Water. Res.
Advances in Water Resources	Adv. Water Resour.
Advances in X-Ray Analysis	Adv. X-Ray Anal.
Adverse Drug Reactions and Toxicological Reviews	Adverse Drug React. Toxicol. Rev.
Aeolian Research	Aeolian Res.
Aequationes Mathematicae	Aequ. Math.
Aeronautical Journal	Aeronaut. J.
Aeronautical Quarterly	Aeronaut. Q.
Aerosol and Air Quality Research	Aerosol Air Qual. Res.
Aerosol Science and Engineering	Aerosol Sci. Eng.
Aerosol Science and Technology	Aerosol Sci. Technol.
Aerospace Medicine and Human Performance	Aerosp. Med. Hum. Perform.
Aerospace Science and Technology	Aerosp. Sci. Technol.
Aerospace Systems	Aerosp. Syst.
AEU International Journal of Electronics and Communications	AEU Int. J. Electron. Commun.
African Entomology	Afr. Entomol.
African Geographical Review	Afr. Geog. Rev.
African Invertebrates	Afr. Invertebr.
African Journal of Aquatic Science	Afr. J. Aquat. Sci.
African Journal of Biochemistry Research	Afr. J. Biochem. Res.
African Journal of Ecology	Afr. J. Ecol.
African Journal of Engineering & Technology	Afr. J. Eng. Technol.
African Journal of Environmental Science and Technology	Afr. J. Environ. Sci. Technol.
African Journal of Food Science	Afr. J. Food Sci.
"African Journal of Food, Agriculture, Nutrition and Development"	Afr. J. Food Agric. Nutr. Dev.
African Journal of Herpetology	Afr. J. Herpetol.
African Journal of Laboratory Medicine	Afr. J. Lab. Med.
African Journal of Marine Science	Afr. J. Mar. Sci.
African Journal of Plant Science	Afr. J. Plant Sci.
African Journal of Range and Forage Science	Afr. J. Range Forage Sci.
"African Journal of Research in Mathematics, Science and Technology Education"	Afr. J. Res. Math. Sci. Technol. Educ.
"African Journal of Science, Technology, Innovation and Development"	Afr. J. Sci. Innovation Dev.
African Zoology	Afr. Zool.
Afrika Matematika	Afr. Mat.
Agal Research	Agal Res.
Aging Cell	Aging Cell
Agrarforschung Schweiz	Agrarforsch. Schweiz
Agricultural & Environmental Letters	Agric. Environ. Lett.
Agricultural and Food Economics	Agric. Food Econ.
Agricultural and Food Science	Agric. Food Sci.
Agricultural and Forest Entomology	Agric. For. Entomol.
Agricultural and Forest Meteorology	Agric. For. Meteorol.
Agricultural and Resource Economics Review	Agric. Resour. Econ. Rev.
Agricultural Economics	Agric. Econ.
Agricultural History	Agric. Hist.
Agricultural Meteorology	Agric. Meteorol.
Agricultural Research	Agric. Res.
Agricultural Sciences in China	Agric. Sci. China
Agricultural Systems	Agric. Syst.
Agricultural Wastes	Agric. Wastes
Agricultural Water Management	Agric. Water Manage.
Agriculture & Food Security	Agric. Food Secur.
Agriculture and Agricultural Science Procedia	Agric. Agric. Sci. Procedia
Agriculture and Environment	Agric. Environ.
Agriculture and Forestry Bulletin	Agric. For. Bull.
Agriculture and Human Values	Agric. Hum. Values
Agriculture and Natural Resources	Agric. Nat. Resour.
Agriculture Ecosystems and Environment	Agric. Ecosyst. Environ.
"Agriculture, Ecosystems & Environment"	Agric. Ecosyst. Environ.
Agroecology and Sustainable Food Systems	Agroecol. Sustainable Food Syst.
Agroforestry Systems	Agrofor. Syst.
AgroLife Scientific Journal	AgroLife Sci. J.
Agronomy for Sustainable Development	Agron. Sustainable Dev.
Agronomy Journal	Agron. J.
"Agrosystems, Geosciences & Environment"	Agrosyst. Geosci. Environ.
AGSO Journal of Australian Geology and Geophysics	AGSO J. Aust. Geol. Geophys.
AGU Advances	AGU Adv.
AI and Ethics	AI Ethics
AI Communications	AI Commun.
AI EDAM	AI EDAM
AI in Civil Engineering	AI Civ. Eng.
AI Open	AI Open
AIAA Journal of Air Transportation	AIAA J. Air Transp.
AICCM Bulletin	AICCM Bull.
AIChE Journal	AlChE J.
AIChE Symposium Series	AlChE Symp. Ser.
AIMS Mathematics	AIMS Math.
Ain Shams Engineering Journal	Ain Shams Eng. J.
AIP Advances	AIP Adv.
AIP Conference Proceedings	AIP Conf. Proc.
Air and Water Pollution	Air Water Pollut.
"Air Quality, Atmosphere and Health"	Air Qual. Atmos. Health
"Air, Soil and Water Research"	Air Soil Water Res.
Aircraft Design	Aircr. Des.
Aircraft Engineering	Aircr. Eng.
AJOB Neuroscience	AJOB Neurosci.
AKCE International Journal of Graphs and Combinatorics	AKCE Int. J. Graphs Comb.
Alcheringa: An Australasian Journal of Palaeontology	Alcheringa: Australas. J. Palaeontol.
Alcohol and Alcoholism	Alcohol Alcohol.
